Function: sub_408110, Start Address: .text:00408110, End Address: .text:00408151
Function: sub_408160, Start Address: .text:00408160, End Address: .text:004081F2
Function: sub_408200, Start Address: .text:00408200, End Address: .text:0040829F
Function: sub_4082A0, Start Address: .text:004082A0, End Address: .text:004082A8
Function: sub_4082B0, Start Address: .text:004082B0, End Address: .text:004082BE
Function: sub_4082C0, Start Address: .text:004082C0, End Address: .text:004082C8
Function: sub_4082D0, Start Address: .text:004082D0, End Address: .text:004082DB
Function: sub_4082E0, Start Address: .text:004082E0, End Address: .text:004082EB
Function: sub_4082F0, Start Address: .text:004082F0, End Address: .text:004082FE
Function: sub_408300, Start Address: .text:00408300, End Address: .text:0040830E
Function: sub_408310, Start Address: .text:00408310, End Address: .text:0040831E
Function: sub_408320, Start Address: .text:00408320, End Address: .text:0040832E
Function: sub_408330, Start Address: .text:00408330, End Address: .text:0040833E
Function: GameEntity::QueryDefaultAnimation, Start Address: .text:00408340, End Address: .text:0040834E
Function: sub_408350, Start Address: .text:00408350, End Address: .text:0040835E
Function: sub_408360, Start Address: .text:00408360, End Address: .text:0040836E
Function: sub_408370, Start Address: .text:00408370, End Address: .text:0040837E
Function: sub_408380, Start Address: .text:00408380, End Address: .text:0040838E
Function: sub_408390, Start Address: .text:00408390, End Address: .text:0040839E
Function: sub_4083A0, Start Address: .text:004083A0, End Address: .text:004083AE
Function: sub_4083B0, Start Address: .text:004083B0, End Address: .text:004083BE
Function: sub_4083C0, Start Address: .text:004083C0, End Address: .text:004083CE
Function: sub_4083D0, Start Address: .text:004083D0, End Address: .text:004083DE
Function: sub_4083E0, Start Address: .text:004083E0, End Address: .text:004083EE
Function: sub_4083F0, Start Address: .text:004083F0, End Address: .text:004083FE
Function: sub_408400, Start Address: .text:00408400, End Address: .text:0040841D
Function: sub_408420, Start Address: .text:00408420, End Address: .text:004084B8
Function: sub_4084C0, Start Address: .text:004084C0, End Address: .text:004084CE
Function: sub_408570, Start Address: .text:00408570, End Address: .text:00408578
Function: sub_408580, Start Address: .text:00408580, End Address: .text:00408639
Function: sub_408640, Start Address: .text:00408640, End Address: .text:0040867C
Function: sub_408680, Start Address: .text:00408680, End Address: .text:004086D8
Function: sub_4086E0, Start Address: .text:004086E0, End Address: .text:00408750
Function: sub_408750, Start Address: .text:00408750, End Address: .text:00408758
Function: sub_408760, Start Address: .text:00408760, End Address: .text:0040876E
Function: sub_408770, Start Address: .text:00408770, End Address: .text:00408778
Function: sub_408780, Start Address: .text:00408780, End Address: .text:0040878B
Function: sub_408790, Start Address: .text:00408790, End Address: .text:0040879B
Function: sub_4087A0, Start Address: .text:004087A0, End Address: .text:004087AE
Function: sub_4087B0, Start Address: .text:004087B0, End Address: .text:004087BE
Function: sub_4087C0, Start Address: .text:004087C0, End Address: .text:004087CE
Function: sub_4087D0, Start Address: .text:004087D0, End Address: .text:004087DE
Function: sub_4087E0, Start Address: .text:004087E0, End Address: .text:004087EE
Function: sub_4087F0, Start Address: .text:004087F0, End Address: .text:004087FE
Function: sub_408800, Start Address: .text:00408800, End Address: .text:0040880E
Function: sub_408810, Start Address: .text:00408810, End Address: .text:0040881E
Function: sub_408820, Start Address: .text:00408820, End Address: .text:0040882E
Function: sub_408830, Start Address: .text:00408830, End Address: .text:0040883E
